fgetws_unlocked	int	wchar_t *fgetws_unlocked (wchar_t *, int, __FILE *)
fgetxattr	int	ssize_t fgetxattr (int, const char *, void *, size_t)
fileno	int	int fileno (FILE *)
fileno_unlocked	int	int fileno_unlocked (FILE *)
finite	fp	int finite (double)
finitef	fp	int finitef (float)
finitel	fp	int finitel (long double)
flistxattr	int	ssize_t flistxattr (int, char *, size_t)
flock	int	int flock (int, int)
flockfile	int	void flockfile (FILE *)
floor	fp	double floor (double)
floorf	fp	float floorf (float)
floorl	fp	long double floorl (long double)
fls	int	int fls (int)
flsl	int	int flsl (long int)
flsll	int	int flsll (long long int)
fma	fp	double fma (double, double, double)
fmaf	fp	float fmaf (float, float, float)
fmal	fp	long double fmal (long double, long double, long double)
fmax	fp	double fmax (double, double)
fmaxf	fp	float fmaxf (float, float)
fmaxl	fp	long double fmaxl (long double, long double)
fmemopen	int	FILE *fmemopen (void *, size_t, const char *)
fmin	fp	double fmin (double, double)
fminf	fp	float fminf (float, float)
fminl	fp	long double fminl (long double, long double)
fmod	fp	double fmod (double, double)
fmodf	fp	float fmodf (float, float)
fmodl	fp	long double fmodl (long double, long double)
fnmatch	int	int fnmatch (const char *, const char *, int)
fopen	int	FILE *fopen (const char *, const char *)
fopencookie	int	FILE *fopencookie (void *, const char *, cookie_io_functions_t)
fork	int	pid_t fork (void)
forkpty	unlisted	-
fpathconf	int	long int fpathconf (int, int)
fpurge	int	int fpurge (FILE *)
fputc	int	int fputc (int, FILE *)
fputc_unlocked	int	int fputc_unlocked (int, FILE *)
fputs	int	int fputs (const char *, FILE *)
fputs_unlocked	int	int fputs_unlocked (const char *, FILE *)
fputwc	int	wint_t fputwc (wchar_t, __FILE *)
fputwc_unlocked	int	wint_t fputwc_unlocked (wchar_t, __FILE *)
fputws	int	int fputws (const wchar_t *, __FILE *)
fputws_unlocked	int	int fputws_unlocked (const wchar_t *, __FILE *)
fread	int	size_t fread (void *, size_t, size_t, FILE *)
fread_unlocked	int	size_t fread_unlocked (void *, size_t, size_t, FILE *)
free	int	void free (void *)
freeaddrinfo	int	void freeaddrinfo (struct addrinfo *)
freeifaddrs	int	void freeifaddrs (struct ifaddrs *)
freelocale	int	void freelocale (locale_t)
fremovexattr	int	int fremovexattr (int, const char *)
freopen	int	FILE *freopen (const char *, const char *, FILE *)
frexp	fp	double frexp (double, int *)
frexpf	fp	float frexpf (float, int *)
frexpl	fp	long double frexpl (long double, int *)
fseek	int	int fseek (FILE *, long int, int)
fseeko	int	int fseeko (FILE *, off_t, int)
fsetpos	int	int fsetpos (FILE *, const fpos_t *)
fsetxattr	int	int fsetxattr (int, const char *, const void *, size_t, int)
fstat	int	int fstat (int, struct stat *)
fstatat	int	int fstatat (int, const char *, struct stat *, int)
fstatfs	int	int fstatfs (int, struct statfs *)
fstatvfs	int	int fstatvfs (int, struct statvfs *)
fsync	int	int fsync (int)
ftell	int	long int ftell (FILE *)
ftello	int	off_t ftello (FILE *)
ftime	int	int ftime (struct timeb *)
ftok	int	key_t ftok (const char *, int)
ftruncate	int	int ftruncate (int, off_t)
ftrylockfile	int	int ftrylockfile (FILE *)
fts_children	int	FTSENT *fts_children (FTS *, int)
fts_close	int	int fts_close (FTS *)
fts_get_clientptr	int	void *fts_get_clientptr (FTS *)
fts_get_stream	int	FTS *fts_get_stream (FTSENT *)
fts_open	int	FTS *fts_open (char *const *, int, int (*) (const FTSENT *const *, const FTSENT *const *))
fts_read	int	FTSENT *fts_read (FTS *)
fts_set	int	int fts_set (FTS *, FTSENT *, int)
fts_set_clientptr	int	void fts_set_clientptr (FTS *, void *)
ftw	int	int ftw (const char *, int (*) (const char *, const struct stat *, int), int)
funlockfile	int	void funlockfile (FILE *)
funopen	int	FILE *funopen (const void *, int (*) (void *, char *, size_t), int (*) (void *, const char *, size_t), fpos_t (*) (void *, fpos_t, int), int (*) (void *))
futimens	int	int futimens (int, const struct timespec *)
futimes	int	int futimes (int, const struct timeval *)
futimesat	int	int futimesat (int, const char *, const struct timeval *)
fwide	int	int fwide (__FILE *, int)
fwrite	int	size_t fwrite (const void *, size_t, size_t, FILE *)
fwrite_unlocked	int	size_t fwrite_unlocked (const void *, size_t, size_t, FILE *)
gai_strerror	int	const char *gai_strerror (int)
gamma	fp	double gamma (double)
gamma_r	fp	double gamma_r (double, int *)
gammaf	fp	float gammaf (float)
gammaf_r	fp	float gammaf_r (float, int *)
gcvt	unlisted	-
gcvtf	unlisted	-
get_avphys_pages	int	long int get_avphys_pages (void)
get_current_dir_name	int	char *get_current_dir_name (void)
get_nprocs	int	int get_nprocs (void)
get_nprocs_conf	int	int get_nprocs_conf (void)
get_phys_pages	int	long int get_phys_pages (void)
getaddrinfo	int	int getaddrinfo (const char *, const char *, const struct addrinfo *, struct addrinfo **)
getc	int	int getc (FILE *)
getc_unlocked	int	int getc_unlocked (FILE *)
getchar	int	int getchar (void)
getchar_unlocked	int	int getchar_unlocked (void)
GetCommandLineA@0	unlisted	-
GetCommandLineW@0	unlisted	-
getcontext	int	int getcontext (ucontext_t *)
getcwd	int	char *getcwd (char *, size_t)
getdelim	int	ssize_t getdelim (char **, size_t *, int, FILE *)
getdomainname	int	int getdomainname (char *, size_t)
getdtablesize	int	int getdtablesize (void)
getegid	int	gid_t getegid (void)
getentropy	int	int getentropy (void *, size_t)
getenv	int	char *getenv (const char *)
geteuid	int	uid_t geteuid (void)
getgid	int	gid_t getgid (void)
getgrent	int	struct group *getgrent (void)
getgrgid	int	struct group *getgrgid (gid_t)
getgrgid_r	int	int getgrgid_r (gid_t, struct group *, char *, size_t, struct group **)
getgrnam	int	struct group *getgrnam (const char *)
getgrnam_r	int	int getgrnam_r (const char *, struct group *, char *, size_t, struct group **)
getgrouplist	int	int getgrouplist (const char *, gid_t, gid_t *, int *)
getgroups	int	int getgroups (int, gid_t *)
