# package	band	names-added	claimed-names-exercised
gcc-toolset-11-gdb	unpinnable	17	40
gcc-toolset-11-gdb-gdbserver	unpinnable	7	29
gcc-toolset-11-libgccjit	unpinnable	13	36
gcc-toolset-11-ltrace	unpinnable	4	28
gcc-toolset-11-make	unpinnable	3	36
gcc-toolset-11-strace	unpinnable	6	33
gcc-toolset-11-systemtap-client	unpinnable	4	33
gcc-toolset-11-systemtap-devel	unpinnable	4	33
gcc-toolset-11-systemtap-runtime	unpinnable	12	39
gcc-toolset-11-systemtap-server	unpinnable	5	24
gcc-toolset-11-valgrind	unpinnable	2	28
gcc-toolset-12-annobin-annocheck	unpinnable	2	23
gcc-toolset-12-annobin-plugin-gcc	unpinnable	2	12
gcc-toolset-12-binutils	unpinnable	8	46
gcc-toolset-12-binutils-gold	unpinnable	4	27
gcc-toolset-12-dwz	unpinnable	1	21
gcc-toolset-12-gcc	unpinnable	12	36
gcc-toolset-12-gcc-c++	unpinnable	13	35
gcc-toolset-12-gcc-gfortran	unpinnable	10	34
gcc-toolset-12-gcc-plugin-annobin	unpinnable	2	12
gcc-toolset-12-gcc-plugin-devel	expensive	40	23
gcc-toolset-12-gdb	unpinnable	13	41
gcc-toolset-12-libgccjit	unpinnable	13	36
gcc-toolset-12-offload-nvptx	unpinnable	10	35
gcc-toolset-13-annobin-annocheck	expensive	39	23
gcc-toolset-13-annobin-plugin-gcc	unpinnable	2	13
gcc-toolset-13-binutils	unpinnable	8	46
gcc-toolset-13-binutils-gold	unpinnable	4	28
gcc-toolset-13-dwz	unpinnable	1	21
gcc-toolset-13-gcc	unpinnable	12	37
gcc-toolset-13-gcc-c++	unpinnable	13	36
gcc-toolset-13-gcc-gfortran	unpinnable	10	35
gcc-toolset-13-gcc-plugin-annobin	unpinnable	2	12
gcc-toolset-13-gcc-plugin-devel	expensive	40	22
gcc-toolset-13-gdb	unpinnable	14	41
gcc-toolset-13-libgccjit	unpinnable	13	37
gcc-toolset-13-offload-nvptx	unpinnable	10	35
gcc-toolset-14-annobin-annocheck	expensive	39	23
gcc-toolset-14-annobin-plugin-gcc	unpinnable	2	13
gcc-toolset-14-binutils	unpinnable	10	48
gcc-toolset-14-binutils-gold	unpinnable	4	28
gcc-toolset-14-binutils-gprofng	unpinnable	5	29
gcc-toolset-14-dwz	unpinnable	1	21
gcc-toolset-14-gcc	unpinnable	12	39
gcc-toolset-14-gcc-c++	unpinnable	13	37
gcc-toolset-14-gcc-gfortran	unpinnable	10	36
gcc-toolset-14-gcc-plugin-annobin	unpinnable	2	12
gcc-toolset-14-gcc-plugin-devel	expensive	40	22
gcc-toolset-14-gdb	unpinnable	14	42
gcc-toolset-14-libgccjit	unpinnable	14	38
gcc-toolset-14-offload-nvptx	unpinnable	10	36
gcc-toolset-15-annobin-annocheck	expensive	39	23
gcc-toolset-15-annobin-plugin-gcc	unpinnable	2	13
gcc-toolset-15-binutils	unpinnable	8	47
gcc-toolset-15-binutils-gold	unpinnable	4	27
gcc-toolset-15-binutils-gprofng	unpinnable	11	39
gcc-toolset-15-dwz	unpinnable	1	22
gcc-toolset-15-gcc	unpinnable	15	40
gcc-toolset-15-gcc-c++	unpinnable	15	39
gcc-toolset-15-gcc-gfortran	unpinnable	12	38
gcc-toolset-15-gcc-plugin-annobin	unpinnable	2	13
gcc-toolset-15-gcc-plugin-devel	expensive	43	23
gcc-toolset-15-gdb	unpinnable	14	43
gcc-toolset-15-libgccjit	unpinnable	15	39
gcc-toolset-15-offload-nvptx	unpinnable	11	37
gcc-toolset-9-annobin	unpinnable	3	12
gcc-toolset-9-binutils	unpinnable	8	43
gcc-toolset-9-dwz	unpinnable	1	20
gcc-toolset-9-dyninst	unpinnable	7	38
gcc-toolset-9-dyninst-devel	cheap	5	5
gcc-toolset-9-dyninst-testsuite	unpinnable	4	35
gcc-toolset-9-elfutils	unpinnable	6	27
gcc-toolset-9-elfutils-libelf	unpinnable	2	14
gcc-toolset-9-elfutils-libs	unpinnable	5	24
gcc-toolset-9-gcc	unpinnable	12	37
gcc-toolset-9-gcc-c++	unpinnable	10	34
